ev,ts,start,end,duration_ms,role,dp,tp,pid,overlap_ms,overlap_ratio,union_overlap_ms,union_overlap_ratio,overlap_intensity,max_active_recv,max_xfer_pressure_GBps,avg_step_xfer_pressure_GBps,avg_active_xfer_pressure_GBps,bytes_during_step_MB,normalized_transfer_MB_per_ms
engine_step_start,1780501427.0958025,1780501427.0958025,1780501427.0990784,3.2758712768554688,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.0961797,1780501427.0961797,1780501427.0962055,0.02574920654296875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1048362,1780501427.1048362,1780501427.1055102,0.6740093231201172,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1075556,1780501427.1075556,1780501427.1075664,0.010728836059570312,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1091866,1780501427.1091866,1780501427.109193,0.0064373016357421875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.109343,1780501427.109343,1780501427.1098638,0.5207061767578125,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1122835,1780501427.1122835,1780501427.1122885,0.0050067901611328125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1149163,1780501427.1149163,1780501427.1154182,0.5018711090087891,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1177795,1780501427.1177795,1780501427.1177847,0.005245208740234375,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1205432,1780501427.1205432,1780501427.1210701,0.5269050598144531,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1233606,1780501427.1233606,1780501427.1233656,0.0050067901611328125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1261282,1780501427.1261282,1780501427.1266837,0.5555152893066406,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1289608,1780501427.1289608,1780501427.1289656,0.00476837158203125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.131724,1780501427.131724,1780501427.1323295,0.6053447723388672,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1345963,1780501427.1345963,1780501427.134603,0.00667572021484375,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1373029,1780501427.1373029,1780501427.137821,0.5180835723876953,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1400943,1780501427.1400943,1780501427.1400988,0.0045299530029296875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1428854,1780501427.1428854,1780501427.1433375,0.4520416259765625,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1456096,1780501427.1456096,1780501427.1456141,0.0045299530029296875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1485183,1780501427.1485183,1780501427.1490335,0.5152225494384766,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1512666,1780501427.1512666,1780501427.1512713,0.00476837158203125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1541264,1780501427.1541264,1780501427.1547241,0.5977153778076172,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1569662,1780501427.1569662,1780501427.1569736,0.0073909759521484375,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1597161,1780501427.1597161,1780501427.1601782,0.4620552062988281,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1624703,1780501427.1624703,1780501427.162475,0.00476837158203125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1652849,1780501427.1652849,1780501427.1657584,0.4734992980957031,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1680229,1780501427.1680229,1780501427.1680274,0.0045299530029296875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1709104,1780501427.1709104,1780501427.171405,0.4947185516357422,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.173713,1780501427.173713,1780501427.1737177,0.00476837158203125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1765163,1780501427.1765163,1780501427.1770597,0.5433559417724609,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1793354,1780501427.1793354,1780501427.1793408,0.0054836273193359375,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1821232,1780501427.1821232,1780501427.1826446,0.5214214324951172,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1849046,1780501427.1849046,1780501427.184909,0.0045299530029296875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1877046,1780501427.1877046,1780501427.1881506,0.44608116149902344,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1903605,1780501427.1903605,1780501427.1903677,0.007152557373046875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1935134,1780501427.1935134,1780501427.194015,0.5016326904296875,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.1962898,1780501427.1962898,1780501427.1962938,0.0040531158447265625,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.199003,1780501427.199003,1780501427.1994944,0.4913806915283203,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2017558,1780501427.2017558,1780501427.2017605,0.00476837158203125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2046494,1780501427.2046494,1780501427.2051425,0.49304962158203125,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2073765,1780501427.2073765,1780501427.207381,0.0045299530029296875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.210172,1780501427.210172,1780501427.2106295,0.45752525329589844,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2128594,1780501427.2128594,1780501427.2128663,0.0069141387939453125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2157507,1780501427.2157507,1780501427.2162597,0.5090236663818359,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.218469,1780501427.218469,1780501427.2184732,0.004291534423828125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.221233,1780501427.221233,1780501427.2217078,0.4749298095703125,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2239726,1780501427.2239726,1780501427.2239773,0.00476837158203125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2268114,1780501427.2268114,1780501427.2272778,0.46634674072265625,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2294953,1780501427.2294953,1780501427.2295022,0.0069141387939453125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2323725,1780501427.2323725,1780501427.2327418,0.3693103790283203,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2349436,1780501427.2349436,1780501427.234948,0.004291534423828125,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2378812,1780501427.2378812,1780501427.2383127,0.4315376281738281,decode,0,0,801717,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
engine_step_start,1780501427.2405517,1780501427.2405517,1780501427.2405562,0.0045299530029296875,decode,1,0,801719,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
