ev,ts,start,end,duration_ms,role,dp,tp,pid,overlap_ms,overlap_ratio,max_active_recv
engine_step_start,1780280904.1235209,1780280904.1235209,1780280904.1358685,12.347698211669922,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.1235406,1780280904.1235406,1780280904.1357975,12.256860733032227,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.1358025,1780280904.1358025,1780280904.1483583,12.555837631225586,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.1358838,1780280904.1358838,1780280904.1483865,12.502670288085938,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.1483712,1780280904.1483712,1780280904.1606717,12.300491333007812,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.1483939,1780280904.1483939,1780280904.160717,12.323141098022461,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.160677,1780280904.160677,1780280904.173171,12.494087219238281,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.1607242,1780280904.1607242,1780280904.1732287,12.50457763671875,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.1731765,1780280904.1731765,1780280904.1857285,12.552022933959961,decode,1,0,451641,9.865999221801758,0.7860086994510609,1
engine_step_start,1780280904.173247,1780280904.173247,1780280904.1857069,12.459754943847656,decode,0,0,451640,9.844303131103516,0.790088021431305,1
engine_step_start,1780280904.185722,1780280904.185722,1780280904.2092881,23.566007614135742,decode,0,0,451640,23.566007614135742,1.0,1
engine_step_start,1780280904.1857412,1780280904.1857412,1780280904.2093422,23.601055145263672,decode,1,0,451641,23.601055145263672,1.0,1
engine_step_start,1780280904.2092946,1780280904.2092946,1780280904.2217412,12.44664192199707,decode,0,0,451640,12.524604797363281,1.0062637678383297,2
engine_step_start,1780280904.209361,1780280904.209361,1780280904.2217443,12.383222579956055,decode,1,0,451641,12.461185455322266,1.0062958470513488,2
engine_step_start,1780280904.2217488,1780280904.2217488,1780280904.234112,12.363195419311523,decode,0,0,451640,10.28299331665039,0.8317423584996625,2
engine_step_start,1780280904.2217722,1780280904.2217722,1780280904.2340953,12.323141098022461,decode,1,0,451641,10.259628295898438,0.832549770735388,2
engine_step_start,1780280904.2341075,1780280904.2341075,1780280904.2465568,12.449264526367188,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.2341194,1780280904.2341194,1780280904.2465336,12.414216995239258,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.2465487,1780280904.2465487,1780280904.2590687,12.520074844360352,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.2465615,1780280904.2465615,1780280904.2589178,12.356281280517578,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.2589288,1780280904.2589288,1780280904.2714193,12.490510940551758,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.2590759,1780280904.2590759,1780280904.271515,12.43901252746582,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.2714238,1780280904.2714238,1780280904.2838912,12.467384338378906,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.271522,1780280904.271522,1780280904.2839787,12.456655502319336,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.2838964,1780280904.2838964,1780280904.2962823,12.385845184326172,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.2839859,1780280904.2839859,1780280904.2964153,12.429475784301758,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.2962885,1780280904.2962885,1780280904.3086104,12.321949005126953,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.296422,1780280904.296422,1780280904.3087232,12.301206588745117,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.3086152,1780280904.3086152,1780280904.3211136,12.49837875366211,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.3087304,1780280904.3087304,1780280904.321165,12.434720993041992,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.3211188,1780280904.3211188,1780280904.3335054,12.386560440063477,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.3211718,1780280904.3211718,1780280904.333566,12.394189834594727,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.3335097,1780280904.3335097,1780280904.345922,12.412309646606445,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.333573,1780280904.333573,1780280904.3460577,12.484550476074219,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.3459265,1780280904.3459265,1780280904.358437,12.510538101196289,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.3460646,1780280904.3460646,1780280904.358556,12.491464614868164,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.3584418,1780280904.3584418,1780280904.3708537,12.411832809448242,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.3585632,1780280904.3585632,1780280904.3710024,12.439250946044922,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.3708582,1780280904.3708582,1780280904.3833416,12.483358383178711,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.371009,1780280904.371009,1780280904.3833725,12.363433837890625,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.3833475,1780280904.3833475,1780280904.3957713,12.42375373840332,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.3833795,1780280904.3833795,1780280904.395828,12.448549270629883,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.395776,1780280904.395776,1780280904.4081626,12.386560440063477,decode,1,0,451641,9.842872619628906,0.7946413104151829,1
engine_step_start,1780280904.3958538,1780280904.3958538,1780280904.408189,12.33530044555664,decode,0,0,451640,9.86933708190918,0.8000889095055859,1
engine_step_start,1780280904.4081738,1780280904.4081738,1780280904.420685,12.511253356933594,decode,1,0,451641,2.5339126586914062,0.20253068069212593,1
engine_step_start,1780280904.4082034,1780280904.4082034,1780280904.4207277,12.52436637878418,decode,0,0,451640,2.5043487548828125,0.19995811996725743,1
engine_step_start,1780280904.42069,1780280904.42069,1780280904.4332774,12.587308883666992,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.420735,1780280904.420735,1780280904.4331396,12.404680252075195,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.433147,1780280904.433147,1780280904.4456437,12.496709823608398,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.433285,1780280904.433285,1780280904.4455311,12.246131896972656,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.4455476,1780280904.4455476,1780280904.4578686,12.320995330810547,decode,1,0,451641,1.77001953125,0.143658810325477,1
engine_step_start,1780280904.4456584,1780280904.4456584,1780280904.4580367,12.378215789794922,decode,0,0,451640,1.77001953125,0.14299472244693556,1
engine_step_start,1780280904.45788,1780280904.45788,1780280904.4703262,12.446165084838867,decode,1,0,451641,0.0,0.0,0
engine_step_start,1780280904.4580436,1780280904.4580436,1780280904.4704275,12.38393783569336,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.4708562,1780280904.4708562,1780280904.4828024,11.94620132446289,decode,0,0,451640,0.0,0.0,0
engine_step_start,1780280904.470886,1780280904.470886,1780280904.4827814,11.895418167114258,decode,1,0,451641,0.0,0.0,0
